claim_id,customer_id,photo_file,claim_story,true_damage,route,payout,deductible_applied,total_cost,covered_cost,reasons
CLM-00001,demo-cust12,000012.jpg,Sideswiped by another car while merging onto 5th Street.,"[{""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}, {""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}]",auto_approve,290.0,300.0,590.0,590.0,
CLM-00003,demo-cust9,000012.jpg,Attempted break-in in the the airport parking lot damaged the car.,"[{""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}]",auto_deny,,,0.0,0.0,policy_lapsed
CLM-00004,demo-cust17,000012.jpg,Backed into a concrete pillar in the the office parking garage.,"[{""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}, {""damage_category"": ""tire flat"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}]",auto_deny,,,395.0,0.0,not_covered
CLM-00006,demo-cust15,000040.jpg,Rear-ended at a red light on 5th Street.,"[{""damage_category"": ""scratch"", ""severity"": ""minor"", ""coverage_type"": ""collision""}, {""damage_category"": ""lamp broken"", ""severity"": ""severe"", ""coverage_type"": ""collision""}]",auto_deny,,,0.0,0.0,policy_lapsed
CLM-00011,demo-cust7,000044.jpg,Vandalized in the the grocery store lot -- panels keyed and glass broken.,"[{""damage_category"": ""dent"", ""severity"": ""minor"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""scratch"", ""severity"": ""minor"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}]",escalate,2210.0,150.0,2360.0,2360.0,payout_above_auto_approve_threshold
CLM-00012,demo-cust17,000044.jpg,Vandalized in the downtown lot -- panels keyed and glass broken.,"[{""damage_category"": ""dent"", ""severity"": ""minor"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""scratch"", ""severity"": ""minor"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}]",auto_approve,612.5,390.0,1002.5,1002.5,
CLM-00014,demo-cust20,000088.jpg,A tree branch fell on the car during a windstorm at the grocery store.,"[{""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""comprehensive""}]",auto_approve,0.0,700.0,467.0,467.0,
CLM-00015,demo-cust16,000090.jpg,A deer ran into the car at dusk on 5th Street.,"[{""damage_category"": ""glass shatter"", ""severity"": ""severe"", ""coverage_type"": ""comprehensive""}]",auto_deny,,,492.5,0.0,not_covered
CLM-00030,demo-cust10,000233.jpg,Sideswiped by another car while merging onto Elm Street.,"[{""damage_category"": ""glass shatter"", ""severity"": ""severe"", ""coverage_type"": ""collision""}]",auto_approve,0.0,530.0,492.5,492.5,
CLM-00054,demo-cust22,000513.jpg,Rear-ended at a red light on Route 9.,"[{""damage_category"": ""dent"", ""severity"": ""minor"", ""coverage_type"": ""collision""}, {""damage_category"": ""scratch"", ""severity"": ""minor"", ""coverage_type"": ""collision""}, {""damage_category"": ""scratch"", ""severity"": ""minor"", ""coverage_type"": ""collision""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}, {""damage_category"": ""crack"", ""severity"": ""moderate"", ""coverage_type"": ""collision""}, {""damage_category"": ""glass shatter"", ""severity"": ""severe"", ""coverage_type"": ""collision""}, {""damage_category"": ""lamp broken"", ""severity"": ""severe"", ""coverage_type"": ""collision""}]",escalate,2114.0,600.0,2714.0,2714.0,payout_above_auto_approve_threshold
